,Name,rel_date,orig_price,discounted_price,discount%
286,TERA,05-5-2015,0.0,0.0,0.0
287,RimWorld,07-15-2016,29.99,29.99,0.0
288,Dungeon Fighter Online,08-9-2016,0.0,0.0,0.0
289,Factorio,02-25-2016,20.0,20.0,0.0
290,NBA 2K17,09-20-2016,59.99,59.99,0.0
291,LEGO Batman,10-10-2008,19.99,4.99,75.04
292,LEGO Batman 2 DC Super Heroes ,06-22-2012,19.99,4.99,75.04
293,LEGO Batman 3: Beyond Gotham,11-11-2014,29.99,7.49,75.03
294,The Witcher 3: Wild Hunt,05-18-2015,39.99,39.99,0.0
295,DARK SOULS  III,04-11-2016,59.99,59.99,0.0
296,Silence,11-15-2016,29.99,14.99,50.02
297,Bayonetta,04-11-2017,19.99,19.99,0.0
298,Portal Knights,02-25-2016,14.99,11.24,25.02
299,Paladins,09-15-2016,0.0,0.0,0.0
300,Counter-Strike: Global Offensive,08-21-2012,14.99,14.99,0.0
301,PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,29.99,29.99,0.0
302,Outlast 2,04-24-2017,29.99,29.99,0.0
303,SMITE,09-8-2015,0.0,0.0,0.0
304,Rocket League,07-6-2015,19.99,19.99,0.0
305,BlazBlue Centralfiction,04-25-2017,39.99,35.99,10.0
306,Warframe,03-25-2013,0.0,0.0,0.0
307,The Long Dark,09-22-2014,19.99,9.99,50.03
308,H1Z1: King of the Kill,02-17-2016,19.99,19.99,0.0
309,NieR:Automata ,03-17-2017,59.99,59.99,0.0
310,Batman : Arkham Knight,06-23-2015,19.99,7.99,60.03
311,Team Fortress 2,10-10-2007,0.0,0.0,0.0
312,War Thunder,08-15-2013,0.0,0.0,0.0
313,DRAGON QUEST HEROES  II,04-25-2017,59.99,59.99,0.0
314,FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,19.99,19.99,0.0
315,Batman: Arkham City - Game of the Year Edition,09-7-2012,19.99,4.99,75.04
316,Space Engineers,10-23-2013,24.99,7.49,70.03
317,Sniper Ghost Warrior 3,04-24-2017,49.99,49.99,0.0
318,Tom Clancy's Rainbow Six Siege,12-1-2015,14.99,14.99,0.0
319,Dota 2,07-9-2013,0.0,0.0,0.0
320,Grand Theft Auto V,04-13-2015,59.99,59.99,0.0
321,Batman: Arkham Asylum Game of the Year Edition,03-26-2010,19.99,4.99,75.04
322,Halo Wars: Definitive Edition,04-20-2017,19.99,19.99,0.0
323,Street Fighter V,02-15-2016,39.99,39.99,0.0
324,Batman : Arkham VR,04-25-2017,19.99,19.99,0.0
325,Star Trek Online,01-31-2012,0.0,0.0,0.0
326,Fallout Shelter,03-29-2017,0.0,0.0,0.0
327,Path of Exile,10-23-2013,0.0,0.0,0.0
328,Batman : Arkham Origins,10-25-2013,19.99,4.99,75.04
329,Sid Meier’s Civilization VI,10-20-2016,59.99,59.99,0.0
330,What Remains of Edith Finch,04-24-2017,19.99,19.99,0.0
331,Scanner Sombre,04-26-2017,11.99,9.59,20.02
332,Earthfall,04-26-2017,29.99,29.99,0.0
333,Rick and Morty: Virtual Rick-ality,04-20-2017,29.99,29.99,0.0
334,Stardew Valley,02-26-2016,14.99,14.99,0.0
335,Stellaris,05-9-2016,39.99,39.99,0.0
336,TERA,05-5-2015,0.0,0.0,0.0
337,RimWorld,07-15-2016,29.99,29.99,0.0
338,Dungeon Fighter Online,08-9-2016,0.0,0.0,0.0
339,Factorio,02-25-2016,20.0,20.0,0.0
340,NBA 2K17,09-20-2016,59.99,59.99,0.0
341,LEGO Batman,10-10-2008,19.99,4.99,75.04
342,LEGO Batman 2 DC Super Heroes ,06-22-2012,19.99,4.99,75.04
343,LEGO Batman 3: Beyond Gotham,11-11-2014,29.99,7.49,75.03
344,The Witcher 3: Wild Hunt,05-18-2015,39.99,39.99,0.0
345,DARK SOULS  III,04-11-2016,59.99,59.99,0.0
346,Silence,11-15-2016,29.99,14.99,50.02
347,Bayonetta,04-11-2017,19.99,19.99,0.0
348,Portal Knights,02-25-2016,14.99,11.24,25.02
349,Paladins,09-15-2016,0.0,0.0,0.0
350,Counter-Strike: Global Offensive,08-21-2012,14.99,14.99,0.0
351,PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,29.99,29.99,0.0
352,Outlast 2,04-24-2017,29.99,29.99,0.0
353,SMITE,09-8-2015,0.0,0.0,0.0
354,Rocket League,07-6-2015,19.99,19.99,0.0
355,BlazBlue Centralfiction,04-25-2017,39.99,35.99,10.0
356,Warframe,03-25-2013,0.0,0.0,0.0
357,The Long Dark,09-22-2014,19.99,9.99,50.03
358,H1Z1: King of the Kill,02-17-2016,19.99,19.99,0.0
359,NieR:Automata ,03-17-2017,59.99,59.99,0.0
360,Batman : Arkham Knight,06-23-2015,19.99,7.99,60.03
361,Team Fortress 2,10-10-2007,0.0,0.0,0.0
362,War Thunder,08-15-2013,0.0,0.0,0.0
363,DRAGON QUEST HEROES  II,04-25-2017,59.99,59.99,0.0
364,FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,19.99,19.99,0.0
365,Batman: Arkham City - Game of the Year Edition,09-7-2012,19.99,4.99,75.04
366,Space Engineers,10-23-2013,24.99,7.49,70.03
367,Sniper Ghost Warrior 3,04-24-2017,49.99,49.99,0.0
368,Tom Clancy's Rainbow Six Siege,12-1-2015,14.99,14.99,0.0
369,Dota 2,07-9-2013,0.0,0.0,0.0
370,Grand Theft Auto V,04-13-2015,59.99,59.99,0.0
371,Batman: Arkham Asylum Game of the Year Edition,03-26-2010,19.99,4.99,75.04
372,Halo Wars: Definitive Edition,04-20-2017,19.99,19.99,0.0
373,Street Fighter V,02-15-2016,39.99,39.99,0.0
374,Batman : Arkham VR,04-25-2017,19.99,19.99,0.0
375,Star Trek Online,01-31-2012,0.0,0.0,0.0
376,Fallout Shelter,03-29-2017,0.0,0.0,0.0
377,Path of Exile,10-23-2013,0.0,0.0,0.0
378,Batman : Arkham Origins,10-25-2013,19.99,4.99,75.04
379,Sid Meier’s Civilization VI,10-20-2016,59.99,59.99,0.0
380,What Remains of Edith Finch,04-24-2017,19.99,19.99,0.0
381,Scanner Sombre,04-26-2017,11.99,9.59,20.02
382,Earthfall,04-26-2017,29.99,29.99,0.0
383,Rick and Morty: Virtual Rick-ality,04-20-2017,29.99,29.99,0.0
384,Stardew Valley,02-26-2016,14.99,14.99,0.0
385,Stellaris,05-9-2016,39.99,39.99,0.0
386,TERA,05-5-2015,0.0,0.0,0.0
387,RimWorld,07-15-2016,29.99,29.99,0.0
388,Dungeon Fighter Online,08-9-2016,0.0,0.0,0.0
389,Factorio,02-25-2016,20.0,20.0,0.0
390,NBA 2K17,09-20-2016,59.99,59.99,0.0
391,LEGO Batman,10-10-2008,19.99,4.99,75.04
392,LEGO Batman 2 DC Super Heroes ,06-22-2012,19.99,4.99,75.04
393,LEGO Batman 3: Beyond Gotham,11-11-2014,29.99,7.49,75.03
394,The Witcher 3: Wild Hunt,05-18-2015,39.99,39.99,0.0
395,DARK SOULS  III,04-11-2016,59.99,59.99,0.0
396,Silence,11-15-2016,29.99,14.99,50.02
397,Bayonetta,04-11-2017,19.99,19.99,0.0
398,Portal Knights,02-25-2016,14.99,11.24,25.02
399,Paladins,09-15-2016,0.0,0.0,0.0
400,Counter-Strike: Global Offensive,08-21-2012,14.99,14.99,0.0
401,PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,29.99,29.99,0.0
402,Outlast 2,04-24-2017,29.99,29.99,0.0
403,SMITE,09-8-2015,0.0,0.0,0.0
404,Rocket League,07-6-2015,19.99,19.99,0.0
405,BlazBlue Centralfiction,04-25-2017,39.99,35.99,10.0
406,Warframe,03-25-2013,0.0,0.0,0.0
407,The Long Dark,09-22-2014,19.99,9.99,50.03
408,H1Z1: King of the Kill,02-17-2016,19.99,19.99,0.0
409,NieR:Automata ,03-17-2017,59.99,59.99,0.0
410,Batman : Arkham Knight,06-23-2015,19.99,7.99,60.03
411,Team Fortress 2,10-10-2007,0.0,0.0,0.0
412,War Thunder,08-15-2013,0.0,0.0,0.0
413,DRAGON QUEST HEROES  II,04-25-2017,59.99,59.99,0.0
414,FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,19.99,19.99,0.0
415,Batman: Arkham City - Game of the Year Edition,09-7-2012,19.99,4.99,75.04
416,Space Engineers,10-23-2013,24.99,7.49,70.03
417,Sniper Ghost Warrior 3,04-24-2017,49.99,49.99,0.0
418,Tom Clancy's Rainbow Six Siege,12-1-2015,14.99,14.99,0.0
419,Dota 2,07-9-2013,0.0,0.0,0.0
420,Grand Theft Auto V,04-13-2015,59.99,59.99,0.0
421,Batman: Arkham Asylum Game of the Year Edition,03-26-2010,19.99,4.99,75.04
422,Halo Wars: Definitive Edition,04-20-2017,19.99,19.99,0.0
423,Street Fighter V,02-15-2016,39.99,39.99,0.0
424,Batman : Arkham VR,04-25-2017,19.99,19.99,0.0
425,Star Trek Online,01-31-2012,0.0,0.0,0.0
426,Fallout Shelter,03-29-2017,0.0,0.0,0.0
427,Path of Exile,10-23-2013,0.0,0.0,0.0
428,Batman : Arkham Origins,10-25-2013,19.99,4.99,75.04
429,Sid Meier’s Civilization VI,10-20-2016,59.99,59.99,0.0
430,What Remains of Edith Finch,04-24-2017,19.99,19.99,0.0
431,Scanner Sombre,04-26-2017,11.99,9.59,20.02
432,Earthfall,04-26-2017,29.99,29.99,0.0
